sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceUrl	referenceCitation
	Zalophus wollebaeki	RO:0002470	eats		Physiculus nematopus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Pontinus clemensi		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Pronotogrammus multifasciatus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Sebastes		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Selar crumenohpthalmus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Serranus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Symphurus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Synodus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Vinciguerria luceita		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Bellator farrago		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Brotula clarkae		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Brotula ordwayi		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Diplectrum		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Epinephelus labriformis		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Kyphosus analogus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Lepophidium		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Trachurus symmetricus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Xenichtys agassizii		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Chromis atrilobata		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Etrumeus teres		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Girella freminvilli		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Haemulon scudderii		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Lepophidium		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Selene peruviana		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Umbrina galapagorum		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
